,STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,AG_RATIO,COUNT
0,40,035,40035,Craig,Craig County,0.7524448649749375,2195111
1,40,031,40031,Comanche,Comanche County,0.1332707850620363,3118658
2,46,015,46015,Brule,Brule County,0.7761974256503096,2435955
3,49,019,49019,Grand,Grand County,0.003233307329276449,10600910
4,46,047,46047,Fall River,Fall River County,0.0195078273287192,5033518
5,40,067,40067,Jefferson,Jefferson County,0.17750925738469736,2227681
6,41,055,41055,Sherman,Sherman County,0.41539802586196084,2391930
7,53,071,53071,Walla Walla,Walla Walla County,0.5658785830705808,3738309
8,49,031,49031,Piute,Piute County,0.03184586488854764,2203677
9,40,113,40113,Osage,Osage County,0.10874218402873823,6630334
10,36,123,36123,Yates,Yates County,0.41859282356291866,1081428
11,36,071,36071,Orange,Orange County,0.1690506753425191,2413442
12,46,037,46037,Day,Day County,0.5203659251620366,3139877
13,46,057,46057,Hamlin,Hamlin County,0.7573172149250261,1548540
14,53,045,53045,Mason,Mason County,0.012677306594412564,2882789
15,49,049,49049,Utah,Utah County,0.09431492070962724,6170169
16,41,027,41027,Hood River,Hood River County,0.06599572694695705,1534266
17,41,021,41021,Gilliam,Gilliam County,0.26879128985764233,3519024
18,49,015,49015,Emery,Emery County,0.017962405593788294,12868989
19,49,017,49017,Garfield,Garfield County,0.0069808093129766205,14987947
20,46,021,46021,Campbell,Campbell County,0.36669823768786525,2218279
21,40,027,40027,Cleveland,Cleveland County,0.0977300067995188,1605996
22,41,017,41017,Deschutes,Deschutes County,0.019401288444394444,8790911
23,36,019,36019,Clinton,Clinton County,0.13643599462759326,3215691
24,38,041,38041,Hettinger,Hettinger County,0.7253208202946613,3262730
25,35,013,35013,Doña Ana,Doña Ana County,0.03784684208522199,10977402
26,05,035,05035,Crittenden,Crittenden County,0.7673135926534049,1831379
27,46,011,46011,Brookings,Brookings County,0.7674474626935262,2316354
28,38,043,38043,Kidder,Kidder County,0.3242487147152973,4123600
29,36,029,36029,Erie,Erie County,0.25837166014509305,3033777
30,34,029,34029,Ocean,Ocean County,0.014251349663961218,2178320
31,22,031,22031,De Soto,De Soto Parish,0.11399036186886206,2574358
32,35,023,35023,Hidalgo,Hidalgo County,0.007652058686053213,9916155
33,30,037,30037,Golden Valley,Golden Valley County,0.1071011000164834,3385222
34,05,041,05041,Desha,Desha County,0.5702742960698124,2358437
35,53,073,53073,Whatcom,Whatcom County,0.08131436345416249,6239857
36,36,035,36035,Fulton,Fulton County,0.10419299515490607,1533510
37,05,039,05039,Dallas,Dallas County,0.020039322365375513,1922570
38,16,019,16019,Bonneville,Bonneville County,0.20252286281579207,5469580
39,40,025,40025,Cimarron,Cimarron County,0.2734538575319256,5297636
40,40,019,40019,Carter,Carter County,0.13727789096025794,2399272
41,35,021,35021,Harding,Harding County,0.001793442851253759,6117842
42,30,039,30039,Granite,Granite County,0.03817886713537693,4987445
43,36,045,36045,Jefferson,Jefferson County,0.36509343565237684,3873896
44,30,029,30029,Flathead,Flathead County,0.034778017318173426,15126653
45,53,029,53029,Island,Island County,0.15258754271075278,610502
46,05,055,05055,Greene,Greene County,0.6632295029283244,1667848
47,36,047,36047,Kings,Kings County,0.0014053512747040978,237663
48,36,053,36053,Madison,Madison County,0.3679757657283681,1903090
49,46,027,46027,Clay,Clay County,0.8784965158724144,1200731
50,09,015,09015,Windham,Windham County,0.07633371490745883,1499927
51,46,029,46029,Codington,Codington County,0.6622238438436693,2063778
52,05,045,05045,Faulkner,Faulkner County,0.4267007350909654,1911056
53,38,035,38035,Grand Forks,Grand Forks County,0.8751274878076394,4142553
54,05,147,05147,Woodruff,Woodruff County,0.7270155421500676,1709416
55,22,033,22033,East Baton Rouge,East Baton Rouge Parish,0.19196918147341288,1353212
56,38,031,38031,Foster,Foster County,0.8286867165280811,1861426
57,38,033,38033,Golden Valley,Golden Valley County,0.2080556828589673,2884622
58,38,055,38055,McLean,McLean County,0.5604369064638883,6699466
59,40,147,40147,Washington,Washington County,0.4625008699781789,1221295
60,16,017,16017,Bonner,Bonner County,0.0035400706855535607,5523901
61,16,025,16025,Camas,Camas County,0.0916683843706118,3104920
62,05,057,05057,Hempstead,Hempstead County,0.264335152196561,2132834
63,41,047,41047,Marion,Marion County,0.3717392400275434,3431677
64,05,043,05043,Drew,Drew County,0.1876708301435337,2404801
65,46,033,46033,Custer,Custer County,0.00854467690565819,4486770
66,16,011,16011,Bingham,Bingham County,0.2927254888977322,6101276
67,46,055,46055,Haakon,Haakon County,0.20024909262647023,5257482
68,05,033,05033,Crawford,Crawford County,0.27691596288738535,1738708
69,05,051,05051,Garland,Garland County,0.07392868748282413,2114159
70,05,037,05037,Cross,Cross County,0.7660826942470508,1790838
71,22,113,22113,Vermilion,Vermilion Parish,0.393996925749037,3729689
72,41,033,41033,Josephine,Josephine County,0.026233843141296943,4724851
73,46,045,46045,Edmunds,Edmunds County,0.6296212886672787,3312523
74,49,027,49027,Millard,Millard County,0.03060930296967402,19649059
75,40,153,40153,Woodward,Woodward County,0.14385307900266164,3586145
76,22,007,22007,Assumption,Assumption Parish,0.28242013942177996,1049047
77,16,005,16005,Bannock,Bannock County,0.17747602029397985,3302063
78,16,001,16001,Ada,Ada County,0.12659435693082624,3051779
79,30,001,30001,Beaverhead,Beaverhead County,0.03527125391745523,16034644
80,35,003,35003,Catron,Catron County,1.875579191642419e-05,19940507
81,34,007,34007,Camden,Camden County,0.06951201240226641,654074
82,22,001,22001,Acadia,Acadia Parish,0.7112494602252757,1891993
83,38,017,38017,Cass,Cass County,0.8891425368085414,5087542
84,40,023,40023,Choctaw,Choctaw County,0.45129317969349975,2300879
85,30,003,30003,Big Horn,Big Horn County,0.07956847823300041,14430790
86,34,009,34009,Cape May,Cape May County,0.040127271644504726,822807
87,38,063,38063,Nelson,Nelson County,0.7047573021872546,2903137
88,40,095,40095,Marshall,Marshall County,0.11149285791611827,1228563
89,40,003,40003,Alfalfa,Alfalfa County,0.5503047001416256,2536264
90,05,029,05029,Conway,Conway County,0.373405333012826,1630748
91,53,001,53001,Adams,Adams County,0.5570609062006013,5553671
92,38,009,38009,Bottineau,Bottineau County,0.7148833122181284,4884316
93,49,003,49003,Box Elder,Box Elder County,0.06129775138834474,19365327
94,53,007,53007,Chelan,Chelan County,0.016907054146492517,8615812
95,46,003,46003,Aurora,Aurora County,0.8860693706154603,2051099
96,41,001,41001,Baker,Baker County,0.05788538432863992,8887563
97,41,009,41009,Columbia,Columbia County,0.06298265338009447,1980847
98,22,019,22019,Calcasieu,Calcasieu Parish,0.32901751520147754,3149036
99,05,031,05031,Craighead,Craighead County,0.7608476030736826,2050960
100,16,013,16013,Blaine,Blaine County,0.03790923013142184,7646370
101,22,009,22009,Avoyelles,Avoyelles Parish,0.486854136345136,2491354
102,30,007,30007,Broadwater,Broadwater County,0.11167364598902159,3564816
103,36,007,36007,Broome,Broome County,0.2003342262870286,2059084
104,36,005,36005,Bronx,Bronx County,0.0006107199310245725,139180
105,09,013,09013,Tolland,Tolland County,0.07361015986015361,1200174
106,35,005,35005,Chaves,Chaves County,0.016892493257348276,17482736
107,46,009,46009,Bon Homme,Bon Homme County,0.7775493708454382,1673913
108,40,001,40001,Adair,Adair County,0.3256471568694161,1660687
109,44,005,44005,Newport,Newport County,0.09187537179781753,317713
110,30,005,30005,Blaine,Blaine County,0.20297242811366187,12198041
111,36,001,36001,Albany,Albany County,0.14882129872160757,1534740
112,36,003,36003,Allegany,Allegany County,0.2138591908893163,2976725
113,38,005,38005,Benson,Benson County,0.7333206518813489,4142533
114,38,021,38021,Dickey,Dickey County,0.7205981234935709,3286746
115,53,013,53013,Columbia,Columbia County,0.30393321451872124,2513720
116,22,027,22027,Claiborne,Claiborne Parish,0.03282280566229283,2208434
117,38,023,38023,Divide,Divide County,0.6026171758677846,3724167
118,34,023,34023,Middlesex,Middlesex County,0.07319164875894564,913014
119,16,021,16021,Boundary,Boundary County,0.053203287017975914,3677254
120,49,013,49013,Duchesne,Duchesne County,0.06036978298409148,9369820
121,40,011,40011,Blaine,Blaine County,0.4195331163307865,2701658
122,46,019,46019,Butte,Butte County,0.04047027192530697,6522269
123,34,019,34019,Hunterdon,Hunterdon County,0.34161347106466405,1258876
124,35,009,35009,Curry,Curry County,0.3486017787353875,4051755
125,41,011,41011,Coos,Coos County,0.015570177171471205,4682413
126,40,007,40007,Beaver,Beaver County,0.210573660182115,5230431
127,30,013,30013,Cascade,Cascade County,0.2040680663901053,7802970
128,34,037,34037,Sussex,Sussex County,0.14286538797008377,1542039
129,34,005,34005,Burlington,Burlington County,0.1320734643810667,2359293
