,STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,AG_RATIO,COUNT
0,40,035,40035,Craig,Craig County,0.5983733662457673,31599
1,40,031,40031,Comanche,Comanche County,0.28589563706821675,44901
2,46,015,46015,Brule,Brule County,0.8252986287310774,35077
3,49,019,49019,Grand,Grand County,0.0018210760069960763,152657
4,46,047,46047,Fall River,Fall River County,0.08010981127910827,72488
5,40,067,40067,Jefferson,Jefferson County,0.25791573173772125,32088
6,41,055,41055,Sherman,Sherman County,0.42940510408501004,34443
7,53,071,53071,Walla Walla,Walla Walla County,0.5817185322805388,53825
8,49,031,49031,Piute,Piute County,0.023005893290473037,31731
9,40,113,40113,Osage,Osage County,0.10025545458352528,95516
10,36,123,36123,Yates,Yates County,0.4719671183610558,15571
11,36,071,36071,Orange,Orange County,0.2637681993439604,34754
12,46,037,46037,Day,Day County,0.8019109970804211,45212
13,46,057,46057,Hamlin,Hamlin County,0.8644608063212714,22274
14,53,045,53045,Mason,Mason County,0.01927153594141453,41512
15,49,049,49049,Utah,Utah County,0.08438372197713154,88856
16,41,027,41027,Hood River,Hood River County,0.08664766300167413,22101
17,41,021,41021,Gilliam,Gilliam County,0.2549630974464222,50674
18,49,015,49015,Emery,Emery County,0.012093705984252818,185303
19,49,017,49017,Garfield,Garfield County,0.004586709661278441,215841
20,46,021,46021,Campbell,Campbell County,0.44281020184634645,31955
21,40,027,40027,Cleveland,Cleveland County,0.2697863506617075,23122
22,41,017,41017,Deschutes,Deschutes County,0.04115411659674654,126573
23,36,019,36019,Clinton,Clinton County,0.25509807310118376,46292
24,38,041,38041,Hettinger,Hettinger County,0.8452272001702671,46985
25,35,013,35013,Doña Ana,Doña Ana County,0.027708366281828246,158075
26,05,035,05035,Crittenden,Crittenden County,0.811722306525038,26360
27,46,011,46011,Brookings,Brookings County,0.8989444644356483,33348
28,38,043,38043,Kidder,Kidder County,0.2941384537645275,59370
29,36,029,36029,Erie,Erie County,0.5173582486030961,43668
30,34,029,34029,Ocean,Ocean County,0.06898970255363918,31367
31,22,031,22031,De Soto,De Soto Parish,0.17139234359403244,37067
32,35,023,35023,Hidalgo,Hidalgo County,0.01588335399289871,142791
33,30,037,30037,Golden Valley,Golden Valley County,0.18033930293146244,48747
34,05,041,05041,Desha,Desha County,0.5798980463800572,33937
35,53,073,53073,Whatcom,Whatcom County,0.09740462093219962,89852
36,36,035,36035,Fulton,Fulton County,0.16518666183399783,22072
37,05,039,05039,Dallas,Dallas County,0.06545362648471063,27699
38,16,019,16019,Bonneville,Bonneville County,0.2628164436431963,78766
39,40,025,40025,Cimarron,Cimarron County,0.31002071261896647,76282
40,40,019,40019,Carter,Carter County,0.22242812056634914,34537
41,35,021,35021,Harding,Harding County,0.03591454970600922,88098
42,30,039,30039,Granite,Granite County,0.037393326001308624,71831
43,36,045,36045,Jefferson,Jefferson County,0.45772678379347437,55780
44,30,029,30029,Flathead,Flathead County,0.043485445940424985,217843
45,53,029,53029,Island,Island County,0.1478785121146627,8791
46,05,055,05055,Greene,Greene County,0.6127446897126198,24010
47,36,047,36047,Kings,Kings County,0.006993006993006993,3432
48,36,053,36053,Madison,Madison County,0.4291500930555049,27403
49,46,027,46027,Clay,Clay County,0.9315710319296622,17288
50,09,015,09015,Windham,Windham County,0.1511181073197833,21599
51,46,029,46029,Codington,Codington County,0.8699788228175737,29749
52,05,045,05045,Faulkner,Faulkner County,0.3920912989750672,27514
53,38,035,38035,Grand Forks,Grand Forks County,0.9476710078610818,59661
54,05,147,05147,Woodruff,Woodruff County,0.6310510071474984,24624
55,22,033,22033,East Baton Rouge,East Baton Rouge Parish,0.33974753694581283,19488
56,38,031,38031,Foster,Foster County,0.8743936114635421,26798
57,38,033,38033,Golden Valley,Golden Valley County,0.38905738494126707,41544
58,38,055,38055,McLean,McLean County,0.5650051307565533,96477
59,40,147,40147,Washington,Washington County,0.20799221388904793,17467
60,16,017,16017,Bonner,Bonner County,0.0406210711591652,79540
61,16,025,16025,Camas,Camas County,0.15511573297551157,44715
62,05,057,05057,Hempstead,Hempstead County,0.38995145156560557,30691
63,41,047,41047,Marion,Marion County,0.4645624683864441,49425
64,05,043,05043,Drew,Drew County,0.2599734426418798,34642
65,46,033,46033,Custer,Custer County,0.05620308025694606,64605
66,16,011,16011,Bingham,Bingham County,0.3098408796011746,87858
67,46,055,46055,Haakon,Haakon County,0.19892487320371935,75712
68,05,033,05033,Crawford,Crawford County,0.34396482813749,25020
69,05,051,05051,Garland,Garland County,0.06485953671759487,30435
70,05,037,05037,Cross,Cross County,0.6961966424999031,25793
71,22,113,22113,Vermilion,Vermilion Parish,0.41829590734740996,53706
72,41,033,41033,Josephine,Josephine County,0.03678880609080353,68037
73,46,045,46045,Edmunds,Edmunds County,0.6999308161596679,47699
74,49,027,49027,Millard,Millard County,0.02345216091377196,282959
75,40,153,40153,Woodward,Woodward County,0.25084253341080764,51630
76,22,007,22007,Assumption,Assumption Parish,0.29714512817115984,15097
77,16,005,16005,Bannock,Bannock County,0.19265881363062684,47540
78,16,001,16001,Ada,Ada County,0.2131576551975241,43944
79,30,001,30001,Beaverhead,Beaverhead County,0.05054897459774346,230885
80,35,003,35003,Catron,Catron County,0.0005049836663903768,287138
81,34,007,34007,Camden,Camden County,0.21229168878038424,9421
82,22,001,22001,Acadia,Acadia Parish,0.6386746014253177,27222
83,38,017,38017,Cass,Cass County,0.9646922342022656,73270
84,40,023,40023,Choctaw,Choctaw County,0.5231947879592206,33154
85,30,003,30003,Big Horn,Big Horn County,0.11484782566846978,207788
86,34,009,34009,Cape May,Cape May County,0.1515663260998058,11843
87,38,063,38063,Nelson,Nelson County,0.8768247738477002,41786
88,40,095,40095,Marshall,Marshall County,0.2741489301642861,17713
89,40,003,40003,Alfalfa,Alfalfa County,0.6714856798641915,36522
90,05,029,05029,Conway,Conway County,0.3917530169289156,23451
91,53,001,53001,Adams,Adams County,0.45977744436109025,79980
92,38,009,38009,Bottineau,Bottineau County,0.7529398381844811,70327
93,49,003,49003,Box Elder,Box Elder County,0.07003489193540868,278861
94,53,007,53007,Chelan,Chelan County,0.024936530324400564,124075
95,46,003,46003,Aurora,Aurora County,0.9206177187753997,29528
96,41,001,41001,Baker,Baker County,0.135675996686827,127974
97,41,009,41009,Columbia,Columbia County,0.10287777349363805,28529
98,22,019,22019,Calcasieu,Calcasieu Parish,0.403215136279439,45348
99,05,031,05031,Craighead,Craighead County,0.7318072533947377,29531
100,16,013,16013,Blaine,Blaine County,0.04540087913684746,110108
101,22,009,22009,Avoyelles,Avoyelles Parish,0.5453379790940767,35875
102,30,007,30007,Broadwater,Broadwater County,0.1692091881465895,51327
103,36,007,36007,Broome,Broome County,0.3108727910427627,29652
104,36,005,36005,Bronx,Bronx County,0.007972097658196313,2007
105,09,013,09013,Tolland,Tolland County,0.1404767414950243,17284
106,35,005,35005,Chaves,Chaves County,0.025473077106404615,251756
107,46,009,46009,Bon Homme,Bon Homme County,0.8428583278035833,24112
108,40,001,40001,Adair,Adair County,0.38899113267525515,23908
109,44,005,44005,Newport,Newport County,0.11531728665207877,4570
110,30,005,30005,Blaine,Blaine County,0.22733819502558936,175659
111,36,001,36001,Albany,Albany County,0.3086285688430388,22101
112,36,003,36003,Allegany,Allegany County,0.33044046285927586,42864
113,38,005,38005,Benson,Benson County,0.6776952358593397,59633
114,38,021,38021,Dickey,Dickey County,0.8079117535184481,47322
115,53,013,53013,Columbia,Columbia County,0.35468361425808237,36190
116,22,027,22027,Claiborne,Claiborne Parish,0.13223452440865627,31792
117,38,023,38023,Divide,Divide County,0.7507691160293103,53633
118,34,023,34023,Middlesex,Middlesex County,0.2532136609112345,13147
119,16,021,16021,Boundary,Boundary County,0.07919184290030211,52960
120,49,013,49013,Duchesne,Duchesne County,0.035109434409765716,134921
121,40,011,40011,Blaine,Blaine County,0.5842136376487521,38907
122,46,019,46019,Butte,Butte County,0.10123819562000277,93927
